Species,awn_category,hair_category,VT,plant_height,wind_speed,5-percentile,25-percentile,50-percentile,75-percentile,90-percentile,99-percentile
Pogonatherum_paniceum,,,0.58,0.6,5.55,-0.006,0.051183432,0.083787879,0.125531915,0.171025641,0.256666667
Pogonatherum_paniceum,,,0.73,0.6,8.64,-0.01928571,0.050954198,0.099301676,0.156290323,0.213333333,0.321
Pogonatherum_paniceum,,,0.58,0.6,8.64,-0.02775,0.06771028,0.13177686,0.201375,0.267972973,0.426
Saccharum_contortum,,,3.27,1,2.4,0.00407317,0.00907619,0.013287425,0.017,0.020594937,0.026466667
Saccharum_contortum,,,0.95,1,2.4,0.0171875,0.054873418,0.080909091,0.109852941,0.137368421,0.1875
Saccharum_contortum,,,3.27,1,4.41,0.0046875,0.012946602,0.019423077,0.025182927,0.031443396,0.0445
Saccharum_contortum,,,0.95,1,4.41,0.03,0.077850467,0.123396226,0.167623762,0.212380952,0.294
Saccharum_contortum,,,3.27,2,2.4,0.02590909,0.044278846,0.057193878,0.071161972,0.084551282,0.106875
Saccharum_contortum,,,0.95,2,2.4,0.09194915,0.194202899,0.273529412,0.359552846,0.43,0.575
Saccharum_contortum,,,3.27,2,4.41,0.00823529,0.054,0.08910828,0.122992701,0.154324324,0.2225
Saccharum_contortum,,,0.95,2,4.41,-0.03,0.201587302,0.387333333,0.575925926,0.738607595,1.072222222
Schizachyrium_scoparium,,,2.65,0.5,2.59,0.00197273,0.004094203,0.005634615,0.007315603,0.008847826,0.0115
Schizachyrium_scoparium,,,1.54,0.5,2.59,0.00452,0.011172043,0.01559542,0.020101124,0.024433333,0.032142857
Schizachyrium_scoparium,,,2.65,0.5,6.25,0.00152174,0.005469697,0.008817073,0.012279412,0.015,0.021
Schizachyrium_scoparium,,,1.54,0.5,6.25,0.00279412,0.014744898,0.023003356,0.032688679,0.041567797,0.059375
Schizachyrium_scoparium,,,2.65,1.5,2.59,0.02788462,0.045258621,0.059297753,0.074673913,0.08702381,0.119166667
Schizachyrium_scoparium,,,1.54,1.5,2.59,0.0508,0.095466667,0.128552632,0.161384615,0.189583333,0.2425
Schizachyrium_scoparium,,,2.65,1.5,6.25,0.0112766,0.068666667,0.112419355,0.156976744,0.203636364,0.29
Schizachyrium_scoparium,,,1.54,1.5,6.25,-0.00755814,0.127380952,0.224242424,0.33539604,0.438414634,0.62
Sorghastrum_elliottii,,,0.69,0.7,2.19,0.01214286,0.039950495,0.060172414,0.081597938,0.102460317,0.13875
Sorghastrum_elliottii,,,0.52,0.7,2.19,0.008,0.047908497,0.076961326,0.106397516,0.136376812,0.186363636
Sorghastrum_elliottii,,,0.69,0.7,4.24,-0.00358491,0.042631579,0.076540881,0.109324324,0.143043478,0.200909091
Sorghastrum_elliottii,,,0.52,0.7,4.24,0.00692308,0.062631579,0.106090226,0.147931034,0.197179487,0.29
Sorghastrum_elliottii,,,0.69,1.9,2.19,0.125,0.259684685,0.355797101,0.464393939,0.57606383,0.745833333
Sorghastrum_elliottii,,,0.52,1.9,2.19,0.14642857,0.331547619,0.471428571,0.621621622,0.756081081,1.008333333
Sorghastrum_elliottii,,,0.69,1.9,4.24,-0.01,0.270454545,0.478440367,0.69893617,0.916071429,1.33
Sorghastrum_elliottii,,,0.52,1.9,4.24,-0.05529412,0.290070922,0.587951807,0.911320755,1.251515152,2.1
Sorghastrum_nutans,,,3.98,0.5,2.66,0.001062,0.001875806,0.00257973,0.003293878,0.003904286,0.00549
Sorghastrum_nutans,,,2.48,0.5,2.66,0.00252985,0.004730159,0.006775591,0.008658416,0.010390411,0.014
Sorghastrum_nutans,,,3.98,0.5,6.28,0.00135256,0.002958333,0.00420283,0.005553797,0.006933333,0.009159091
Sorghastrum_nutans,,,2.48,0.5,6.28,0.00204762,0.006942308,0.010291667,0.014245614,0.018016393,0.026666667
Sorghastrum_nutans,,,3.98,2.3,2.66,0.0276087,0.047671233,0.062409326,0.077380952,0.091352941,0.120555556
Sorghastrum_nutans,,,2.48,2.3,2.66,0.0588,0.101347518,0.132666667,0.166212121,0.201641791,0.247777778
Sorghastrum_nutans,,,3.98,2.3,6.28,0.0087931,0.095322581,0.163421053,0.237151899,0.304821429,0.445
Sorghastrum_nutans,,,2.48,2.3,6.28,-0.0484127,0.160465116,0.3,0.460185185,0.626811594,0.925
Thelopogon_elegans,,,3.93,0.1,5.99,5.00E-05,8.23E-05,0.000105385,0.000132671,0.000163788,0.000219286
Thelopogon_elegans,,,2.69,0.1,5.99,0.00010613,0.00018907,0.000259435,0.00033125,0.000396964,0.000555
Thelopogon_elegans,,,3.93,0.1,8.33,5.02E-05,8.65E-05,0.000114795,0.000147143,0.000180909,0.000244545
Thelopogon_elegans,,,2.69,0.1,8.33,8.23E-05,0.000193098,0.000271795,0.00035625,0.000436111,0.000613889
Thelopogon_elegans,,,3.93,1.5,5.99,0.0105814,0.037672414,0.057777778,0.078478261,0.100909091,0.144166667
Thelopogon_elegans,,,2.69,1.5,5.99,0.01428571,0.068703704,0.111025641,0.152696629,0.195555556,0.267777778
Thelopogon_elegans,,,3.93,1.5,8.33,0.00106383,0.045448276,0.081466667,0.128105263,0.166,0.246
Thelopogon_elegans,,,2.69,1.5,8.33,-0.00912698,0.081764706,0.151683938,0.228092784,0.312341772,0.495
Themeda_triandra,,,2.47,0.3,6.77,0.00115476,0.002815421,0.003916667,0.005231928,0.006352273,0.008638889
Themeda_triandra,,,1.46,0.3,6.77,0.00251351,0.007014706,0.010483871,0.013927536,0.017346154,0.023857143
Themeda_triandra,,,2.47,0.3,9.67,0.00085088,0.003313725,0.005138889,0.007195238,0.00925,0.013166667
Themeda_triandra,,,1.46,0.3,9.67,0.00154918,0.008159574,0.013192308,0.018360465,0.024071429,0.0345
Themeda_triandra,,,2.47,2,6.77,0.01458333,0.180555556,0.294918699,0.424342105,0.5475,0.765909091
Themeda_triandra,,,1.46,2,6.77,-0.01304348,0.306626506,0.530833333,0.802702703,1.06,1.675
Themeda_triandra,,,2.47,2,9.67,-0.03666667,0.235087719,0.454651163,0.684951456,0.892857143,1.342857143
Themeda_triandra,,,1.46,2,9.67,-0.13030303,0.400917431,0.766165414,1.22815534,1.676,2.633333333
Tripsacum_dactyloides,,,5,1.5,3,0.00784848,0.014679012,0.018830769,0.023243902,0.02765,0.0344
Tripsacum_dactyloides,,,4.75,1.5,3,0.00835714,0.015359155,0.020241573,0.025136364,0.030565574,0.040227273
Tripsacum_dactyloides,,,5,1.5,7.66,0.00136364,0.026937984,0.04527027,0.067022472,0.087444444,0.129285714
Tripsacum_dactyloides,,,4.75,1.5,7.66,0.00175,0.027307692,0.049108527,0.072731959,0.09547619,0.130555556
Tripsacum_dactyloides,,,5,4,3,0.03315789,0.108142857,0.169418605,0.227553191,0.287307692,0.402272727
Tripsacum_dactyloides,,,4.75,4,3,0.02735294,0.117631579,0.187434783,0.258253012,0.316363636,0.44
Tripsacum_dactyloides,,,5,4,7.66,-0.075,0.261842105,0.541860465,0.843396226,1.104166667,1.7
Tripsacum_dactyloides,,,4.75,4,7.66,-0.075,0.305194805,0.611731844,0.959130435,1.30754717,2
Zea_mays_ssp._parviglumis,,,4.59,2,1.59,0.013125,0.020984536,0.026918605,0.033674312,0.039690476,0.0505
Zea_mays_ssp._parviglumis,,,4.23,2,1.59,0.0129,0.022256757,0.028195652,0.035530303,0.04226087,0.052833333
Zea_mays_ssp._parviglumis,,,4.59,2,2.76,0.015,0.025759259,0.033539326,0.041478102,0.049449153,0.064375
Zea_mays_ssp._parviglumis,,,4.23,2,2.76,0.0147973,0.0275,0.035973054,0.044481132,0.054311594,0.070277778
Zea_mays_ssp._parviglumis,,,4.59,3,1.59,0.0377381,0.051713483,0.0625,0.073873626,0.085,0.10375
Zea_mays_ssp._parviglumis,,,4.23,3,1.59,0.03875,0.055173267,0.066754386,0.080331325,0.090833333,0.106875
Zea_mays_ssp._parviglumis,,,4.59,3,2.76,0.0280303,0.059326923,0.0825,0.104099099,0.124722222,0.163888889
Zea_mays_ssp._parviglumis,,,4.23,3,2.76,0.02842105,0.06225,0.088,0.112613636,0.134482759,0.181363636
