Individual,seed,Vmean,Vstd,Amean,Astd,M,Cd,Cd_error,Re,Re_error
Iscsug,10,3.079147867,0.187355748,1.02E-05,2.71E-07,4.73E-06,0.797117474,0.099280647,740.9554286,45.3515024
KELLOGG1279_NM2,1,1.050617209,0.062104366,5.36E-05,9.51E-06,3.97E-06,1.087492322,0.23175609,542.5449874,33.64063589
KELLOGG1279_NM2,2,1.519912334,0.045105373,2.61E-05,4.55E-06,3.40E-06,0.915960947,0.168830532,547.3742825,33.66650005
KELLOGG1279_NM2,3,1.210895775,0.053097809,2.86E-05,6.09E-06,4.19E-06,1.622812241,0.374196465,456.4021393,31.3628259
KELLOGG1279_NM2,4,1.067590281,0.091467128,3.35E-05,1.08E-05,4.18E-06,1.773337852,0.646194744,435.7630429,39.80396266
KELLOGG1279_NM2,5,1.43099326,0.046620511,2.86E-05,3.93E-06,4.11E-06,1.138253023,0.173004963,539.7316867,29.84770196
KELLOGG1279_NM2,6,1.098225997,0.067490409,3.63E-05,4.47E-06,4.01E-06,1.483309853,0.258033493,466.9435528,24.82671065
KELLOGG1279_NM2,7,1.274561038,0.047744398,3.21E-05,6.94E-06,4.22E-06,1.312114568,0.300619537,509.0149772,35.30098286
KELLOGG1279_NM2,8,1.075816825,0.045202538,2.83E-05,5.06E-06,3.90E-06,1.929998718,0.380940368,403.8482655,25.13366328
KELLOGG1279_NM2,9,1.372825609,0.048010264,2.58E-05,4.93E-06,4.48E-06,1.490076028,0.302482138,492.1954213,31.70539996
KELLOGG1279_NM2,10,1.191803838,0.066611711,2.89E-05,6.92E-06,3.95E-06,1.557934775,0.411248144,452.1789153,33.39320955
KELLOGG1279_NM2,11,1.567576217,0.044831473,2.83E-05,4.18E-06,4.49E-06,1.047090729,0.165934678,588.1730304,33.5042797
KELLOGG1279_NM2,12,1.485926974,0.050287481,3.15E-05,9.19E-06,4.23E-06,0.987956205,0.296419367,587.6849365,49.93459761
KELLOGG1279_NM2,13,1.476926645,0.069359047,2.69E-05,4.31E-06,4.44E-06,1.227819864,0.228122621,540.0763657,31.88665401
KELLOGG1279_NM2,14,1.185668533,0.048534526,3.73E-05,5.79E-06,4.22E-06,1.30364007,0.228934407,510.6607023,29.724974
KELLOGG1279_NM2,15,1.166680526,0.057729603,2.83E-05,4.56E-06,4.39E-06,1.846156853,0.348959751,437.9000705,25.90880544
KELLOGG1279_NM2,16,1.245754449,0.052790078,3.54E-05,8.57E-06,4.12E-06,1.215638683,0.311597845,523.0696194,38.92272397
KELLOGG1279_NM2,17,1.465483939,0.057496324,3.10E-05,7.70E-06,4.52E-06,1.098577497,0.285684813,575.8141841,43.55495153
